product_name,unit,price,product_category,description
Cannabis Oil 2 mg per ml,2 bottle per box,1450,cannabis extracts,good for sleep and relaxation
Cannabis Oil 10 mg per ml,10 ml bottle,1250,cannabis extracts,good for sleep and relaxation
Cannabis Oil 20 mg per ml,10 ml bottle,1950,cannabis extracts,good for sleep and relaxation but a bit stronger
Cornflake Butter Cookie,10 mg or 20 mg,290,cannabis edibles,it's still in R&D so we will put it out for sale soon and make sure to store at room temperature and avoid direct sunlight
Chocolate Chip Cookie,10 mg or 20 mg,290,cannabis edibles,it's still in R&D so we will put it out for sale soon and make sure to store at room temperature and avoid direct sunlight
Bitter Melon Capsule,bottle,100,traditional medicine (non-cannabis),for non-cannabis customers
